author,comment,published_at
@DarshilParmar,"Don't forge to hit the LIKE button, took me 2 weeks to make this! Thanks for watching <3",2022-12-04T13:36:10Z
@anvijain9926,Anyone getting error while creating topic? I'm getting timeout error.,2024-02-02T22:31:18Z
@justvenkyy...3423,why did you kafka instead of aws kinesis as you implementing whole solution in aws.,2024-01-29T17:22:01Z
@roy601912008,"I completed the entire project today and I'm excited to learn more!

I overcame the challenges below and cleared the project:
1. kafka outdated version -> install 3.6.1 instead
2. Java version was also old so I install newer version using this command: sudo yum install java-17-devel
3. Servers run got stuck (Zookeeper and Kafka) -> I rebooted my EC2 server from the AWS EC2 instance console
4. S3 credential issue in KafkaConsumer notebook-> solve it by specifying the access key and secret inside S3FileSystem
5. Got invalid bucket name error (I 'm pretty damn sure the name is legit) when I tried to write to S3 --> it turns out I forgot the "":"" in between 's3' and '//' for my s3 bucket path......so be careful of typo

Finally, I was able to achieve the same result at last!! Thank you Darshil for the video!",2024-01-26T23:59:37Z
@itsapy2555,"I want to learn more ❤

Also please make some project using Snowflake (real time or batch)",2024-01-25T18:57:42Z
@rohitpant6473,"the kafka version you used is outdated now I am facing issues due to that , I am using kafka kafka_2.12-3.6.1 with this installed java version 11 .. while creating topic my kafka cluster stops abruptly and along with that the zookeeper also disconnects.. any comments?",2024-01-23T12:36:28Z
@user-sj5ml6ze6k,"After running the select query in Athena, I'm getting ""HIVE_CURSOR_ERROR: Row is not a valid JSON Object - JSONException: A JSONObject text must end with '}' at 2 [character 3 line 1]"". Anybody faced this error? Please help, stuck here for 12 hours.",2024-01-23T08:50:11Z
@sohyunkim7071,"Hi Darshil, thanks for the amazing videos! i just wanted to ask a question regarding an error that I've been getting... 

I'm currently in the middle of creating a new topic, but every time i create a topic, I get this error: ""Error while executing topic command : Timed out waiting for a node assignment. Call: createTopics"" 

what should I do to fix this? I've searched on Google, and they say my port number is probably wrong, but it seems to be 9092 (which is correct). thank you in advance",2024-01-23T04:54:54Z
@safnasthegreat7153,Bro what about the cost if EC2 Kafka hosting,2024-01-22T02:59:24Z
@rohitpant6473,"It seems the kafka version being used in the tutorial is deprecated and java version 8 is not working with newer versions .. any insights on this? getting No match for argument: java-1.8.0-openjdk
Error: Unable to find a match: java-1.8.0-openjdk",2024-01-21T16:53:00Z
@gyungyoonpark,hi! I am completely new to kafka. i only know python. can i learn&utilize kafka with only python?,2024-01-21T05:31:51Z
@sumitrawal5770,Can we do this project with aws free tier account?,2024-01-20T08:28:32Z
@SuperbiaDev,"I completed the entire project today and I'm excited to learn more, Greetings from Argentina :D good content, good teacher",2024-01-19T21:43:57Z
@user-yj3gm3kn2x,working with shell but can't connect with jupyter note book,2024-01-16T18:21:01Z
@kavyasri6654,I completed the entire project today and I'm excited to learn more!🎉,2024-01-16T11:52:50Z
@jayanthv5867,"Excellent Content! Just a small question, Why do we need to worry about using public IP instead of private IP in server properties file when we are already connected to EC2 via SSH?",2024-01-11T21:35:08Z
@adityasprojects7126,"so where exactly is the data being processed? you serialized it at the producer and deserialized at the consumer. I wanted to know what was the role of the broker. Also, lets say we have couple of conusmers where 1 was intersted on closing price and another in opening and other was intersted in some sort of aggregation or price change between opening and closing or some complex operation within other columns. So in this case where can the operation happen?",2024-01-10T18:52:48Z
@user-js6ih6dc6q,I completed the entire project and I'm excited to learn more!,2024-01-04T23:04:10Z
@yashusachdeva,Good Work Darshil.,2024-01-02T12:29:55Z
@sumanpatra7207,"Error while executing topic command : Timed out waiting for a node assignment. Call: createTopics
[2023-12-24 13:59:49,404] ERROR org.apache.kafka.common.errors.TimeoutException: Timed out waiting for a node assignment. Call: createTopics
 (kafka.admin.TopicCommand$)

I am facing the above error while creating the topic. Please Help!",2023-12-24T14:28:17Z
@bulgogipower,I completed this today! Want to learn more,2023-12-19T17:55:57Z
@mmohammedsadiq2483,"jdk  installation failed :  
[ec2-user@ip-172-31-42-229 ~]$ sudo yum install java-1.8.0-openjdk
Last metadata expiration check: 1:53:59 ago on Mon Dec  4 12:27:11 2023.
No match for argument: java-1.8.0-openjdk
Error: Unable to find a match: java-1.8.0-openjdk",2023-12-04T14:23:33Z
@vivekkulkarni1460,amazing,2023-12-01T03:29:48Z
@Chandu_Art,"Hi, I am facing issue while uploading to S3 bucket. It says aws profile not found. I have configured with the same profile in aws CLI, not sure what am i missing.

error:
399     return profile_map.get('default', {})
    400 elif profile_name not in profile_map:
    401     # Otherwise if they specified a profile, it has to
    402     # exist (even if it's the default profile) otherwise
    403     # we complain.
--> 404     raise ProfileNotFound(profile=profile_name)
    405 else:
    406     return profile_map[profile_name]

ProfileNotFound: The config profile (awsdemo) could not be found",2023-11-30T14:11:13Z
@cOnfidentialcOrp,"If you ran the kafka producer/consumer jupyter notebook on your local machine, but its not uploading the data on your s3 bucket , as long as it worked for the first time , thats a good sign , if it doesnt work for the 2nd time , then just delete the dataset from the s3 bucket and the rerun it again",2023-11-29T09:18:34Z
@cOnfidentialcOrp,"I Completed the Entire Project , how do i show case this on my resume or to employers",2023-11-28T12:41:57Z
@Mahipal_Malviya,I Completed the Entire Project and I Excited to learn more,2023-11-28T12:31:05Z
@aryanraj4797,MY WGET COMMAND IS NOT RUNNING AND THE FILES ARE NOT GETTING INSTALLED 19TH MIN,2023-11-25T11:55:50Z
@pratiknandekar7901,"Hi Darshil, Nice work really appreciate your efforts in making this video. It would be great if you could explain:
	1) Why we store in S3 and use crawler and glue to insert in Athena. Instead, push from consumer to Athena(situations when you know your schema already)
	2) Why use Athena and not RDS (in brief)?
	3) At what scale/volume does this pipeline useful/cost efficient? Is it useful for say max 100k records?",2023-11-23T12:14:13Z
@snehalsylasmalladi9320,"@DarshilParmar 
Great video. I have started doing the project and I have been running into this issue since day one and I have surfed stack and other places but no solution. 

The Kafka server keeps timing out with the following error ( I have seen others post about this as well): 
INFO [Controller id=0, targetBrokerId=0] Disconnecting from node 0 due to socket connection setup timeout. The timeout value is 11679 ms. (org.apache.kafka.clients.NetworkClient)
INFO [Controller id=0, targetBrokerId=0] Client requested connection close from node 0 (org.apache.kafka.clients.NetworkClient)

And since the Kafka server is not up and running, Im not able to create topics and so on. Appreciate some help on this!",2023-11-22T22:11:31Z
