author,comment,published_at
@yashmatha6180,"I am getting Permission Denied: No AccessKey Presented when i try to run my DAG.
I have created access keys from my AWS, and have also pasted them in aws_credentials variable. Please Help!!",2024-02-01T10:15:44Z
@khaliltrabelsi5831,"i had an error after lunching airflow standalone can you help me please ?
SqlAlchemySessionInterface.__init__() missing 6 required positional arguments: 'sequence', 'schema', 'bind_key', 'use_signer', 'permanent', and 'sid_length'
i tried pip install Flask-Session but nothing , i had the same error in my wsl and i solved it the flask-session",2024-01-30T23:02:01Z
@gyungyoonpark,"I want to make my airflow run every hour, but it seems my token is expired (the one that I get with aws sts get-session-token). how can i get aws credentials that has no expiration?
for example, each time i run, how can i run aws sts get-session-token and make the result into python variable?",2024-01-28T12:51:00Z
@gyungyoonpark,"this video is so clear and helpful. there are many airflow courses, but this video goes beyond and helps you ""practice"" airflow. hats off to the master and look forward to more awesome videos!!!",2024-01-28T02:21:12Z
@chiragmadhukar9504,"I was enable to open Airflow on EC2 instance, and establish an SSH connection to my Visual Studio. However, my DAG isn't getting created on Airflow. Can you please help?",2024-01-21T19:28:31Z
@sumitrawal5770,"after running 'airflow standalone' in EC2 instance, i am getting this error - TypeError: SqlAlchemySessionInterface.__init__() missing 6 required positional arguments: 'sequence', 'schema', 'bind_key', 'use_signer', 'permanent', and 'sid_length' .......can anyone help me to resolve this",2024-01-21T15:03:13Z
@ndthdproduction2900,"Hello bro can you explain why airflow throw DAG import error: Broken DAG: [/home/ubuntu/airflow/dags/weather_dag.py] Traceback (most recent call last):
  File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed
  File ""/home/ubuntu/airflow/dags/weather_dag.py"", line 8, in <module>
    import pandas as pd
ModuleNotFoundError: No module named 'pandas'

I installed pandas with sudo pip install pandas  but it still there. Could you explain this. Thank you so much for your work !",2024-01-16T17:01:53Z
@user-dz8ro7xy9h,Simply… your the best,2024-01-13T17:09:28Z
@pspointssara8472,Excellent presentation. Even though I'm an experienced person still I need to learn a lot from your videos. This reminds me to watch more of your other videos in future. Good work and keep it up.,2024-01-12T05:52:23Z
@Zelinity,This video has the signature of a master teacher. You introduced key concepts in a way that is simple to understand. Thank you for starting from level 1 without any assumptions of what we viewers/learners bring to the subject.,2024-01-10T14:59:05Z
@ndrimenan624,Thanks for this wonderful tuto. It’s time for me to practice now 🙏🏽,2024-01-09T00:10:42Z
@subashpandey518,"in my third task, i followed everything but I still got the error 

PermissionError: No AWSAccessKey was presented.
[2024-01-05, 21:24:55 UTC] {taskinstance.py:1138} INFO - Marking task as FAILED. dag_id=weather_dag, task_id=transform_load_weather_data, execution_date=20240105T212338, start_date=20240105T212454, end_date=20240105T212455
[2024-01-05, 21:24:55 UTC] {standard_task_runner.py:107} ERROR - Failed to execute job 67 for task transform_load_weather_data (No AWSAccessKey was presented.; 13489)
[2024-01-05, 21:24:55 UTC] {local_task_job_runner.py:234} INFO - Task exited with return code 1
[2024-01-05, 21:24:55 UTC] {taskinstance.py:3281} INFO - 0 downstream tasks scheduled from follow-on schedule check

any solutions for this",2024-01-05T21:29:43Z
@jyothikasiri4008,When import DAG from airflow it shows Module airflow not found can you please guide?,2023-12-27T04:25:37Z
@onuhmichael4312,"Helped me to upskill my knowledge, Awesome tutorial keep it up!!!",2023-12-26T11:47:52Z
@mohamedelbrawy1222,"I am very grateful to see this kind of teaching, and I have searched a lot to see a way to connect airflow to the free instance I found a blog on medium that demonstrates that: ( How to Install Apache Airflow on AWS EC2 Instance?)",2023-12-25T23:44:47Z
@zahraelhaddi6980,thank you so much. i did this on azure but the connection part is different than aws and it didnt work,2023-12-19T09:46:15Z
@hellowillow_YT,I've been looking for an ETL project videos that I can follow to learn basic data engineering stuff and finally I found your video! Thank you for this!,2023-12-19T02:20:01Z
@user-sf4mm8dp3s,Airflow standalone gives an error saying ' No response from Gunicorn master within120 seconds,2023-12-15T08:18:07Z
@vaibhavpawar3403,Very detailed and basics tutorial with actual hands-on recorded. No PPT's simply a basic teaching which is very helpful for data engineer.,2023-12-13T04:47:31Z
@abhijeetsuryawanshi4064,Great video 👍👍👍👍👍,2023-12-09T19:10:26Z
@Chandu_Art,"Being an aspiring data engineer, this project is really helpful . Thank you so much for this content :)",2023-12-05T17:55:40Z
@mudasurbasha5742,I'm struck at airflow standalone command after running this command it continuessly kept printing like conversation between webserver and triggered. Please help me out,2023-11-30T16:30:57Z
@ahmeddadjio2003,great video!!!please can i help me with the installation of airflow because i have a few problems!,2023-11-28T12:02:19Z
@kerryw6361,This is really good info! Thank you! One possible area to further advance this video is to upgrade the final task by loading data to an actual database (PostgreSQL for example).,2023-11-18T17:16:58Z
@joshuaroberts3987,when i connected my vscode to my EC2 instance i didnt get all those files in my vscode. just the .py file.  i didnt get airflow file or any other files? please help!,2023-11-08T18:58:47Z
@Dataengineer-ci8fe,"Thank you so much for the video, just have a question, how can we make the airflow scheduler keep running after exit ssh? I noticed that the airflow scheduler stopped running after a while or if you exit the connection interface to ec2.",2023-11-04T19:02:29Z
@flaskwater44,Great tutorial!  Thank You.,2023-10-25T03:51:51Z
@AlmirTvojDrug,"Thank you for this good end-to-end example. However, there are some overheads, e.g. you don't need AWS STS tokens, AWS CLI setup is enough. Also, there is no need to IAM role for EC2. Greetings from Croatia!",2023-10-18T22:37:15Z
@Fordalo,my guy is 100%  nigerian,2023-10-14T18:10:38Z
@manaschauhan2418,"Amazing explanation, I've tried with Azure VM, if anyone is trying with that installation steps for airflow will be little bit different",2023-10-13T09:46:55Z
@guidysoll,Thank you very much for the amazing content. Already subscribed to your channel.,2023-10-08T18:33:41Z
@user-ey7dp7sh5o,"Hi,
My DAG breaks because of ""import pandas as pd"". It's giving me below error is airflow:
Broken DAG: [/home/ubuntu/airflow/dags/weather_api_etl_asp.py] Traceback (most recent call last):
  File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed
  File ""/home/ubuntu/airflow/dags/weather_api_etl_asp.py"", line 7, in <module>
    import pandas as pd
ModuleNotFoundError: No module named 'pandas'

I've pandas installed on my EC2 instance.",2023-10-07T20:26:22Z
@brayanrobertosanchezfigueroa,"if we are work in venv, we cant use sudo",2023-10-01T21:02:34Z
@jerbear97,"excellent vibe, i love it. other tutorial make me sleep",2023-09-30T05:56:26Z
@vrushalip1110,I am trying to do this project but whenever I hit run button in airflow for the first dag (is_weather_api_ready) my SSH in VS code starts reconnecting and airflow just loads doesn't give output. If anyone can help would really appreciated.,2023-09-15T20:45:04Z
@DEEKSHITH-bw6bo,"I am getting the error at the last step, i.e to store the csv file in the s3 bucket. can you please help me with that 
the log file shows like-- ERROR - Failed to execute job 42 for task transform_load_weather_data ([Errno 22] The provided token is malformed or otherwise invalid.; 54783)",2023-09-14T20:36:56Z
@user-ue8ut8uu2g,MySQL vs PostgreSQL . Which one should i go for as a begineer,2023-09-09T14:49:01Z
